relation,count,distinct_heads,distinct_tails,distinct_pairs,specificity
đã trải qua,2,2,2,2,1.0
đặt mốc tới,2,1,2,2,1.0
hợp tác đào tạo với,2,2,2,2,1.0
bị hủy do,2,2,1,2,1.0
đánh giá ngoài,2,2,2,2,1.0
làm việc từ ngày,2,2,2,2,1.0
làm việc đến ngày,2,2,2,2,1.0
được xem trên,2,2,2,2,1.0
có thể cải tiến,2,2,1,2,1.0
"tăng cường cơ hội học tập, nghiên cứu cho",2,1,2,2,1.0
giảng dạy trong,2,2,2,2,1.0
được chế tạo để,2,2,2,2,1.0
có thể dẫn tới,2,2,2,2,1.0
được vinh dự,2,2,2,2,1.0
tương thích với,2,2,2,2,1.0
chưa đảm bảo,2,1,2,2,1.0
không tương thích với,2,1,2,2,1.0
đạt vị trí,2,2,2,2,1.0
duy trì phương pháp,2,1,2,2,1.0
là nguồn cho,2,2,2,2,1.0
ban-hanh,2,2,2,2,1.0
quy-dinh,2,1,2,2,1.0
bao-cao,2,2,2,2,1.0
so-cong-van,2,2,2,2,1.0
kết thúc đợt,2,2,2,2,1.0
chưa tính học phần,2,1,2,2,1.0
được triển khai theo chuẩn đầu ra,2,2,2,2,1.0
là thành phần của,2,2,2,2,1.0
đưa thông tin về,2,2,2,2,1.0
là học viên của,2,2,1,2,1.0
được bảo vệ tại,2,2,2,2,1.0
bảo vệ ở,2,2,1,2,1.0
căn cứ đề nghị,2,1,2,2,1.0
trích từ công văn,2,2,2,2,1.0
có nguyện vọng tham dự,2,1,1,1,2.0
bao gồm thời gian,2,2,2,2,1.0
đã thông báo ngày,2,2,2,2,1.0
do ban hành,2,2,2,2,1.0
được dẫn tới,2,2,2,2,1.0
không đủ điều kiện tốt nghiệp,2,2,2,2,1.0
hình thức là,2,2,1,2,1.0
có độ dài khoảng,2,2,1,2,1.0
về việc xử lý,2,2,2,2,1.0
nhận nộp sau họp,2,1,2,2,1.0
có thể ở dạng,2,1,2,2,1.0
tổng hợp sau Hội nghị đối thoại,2,1,2,2,1.0
dưới,2,2,2,2,1.0
bắt đầu lúc,2,2,2,2,1.0
do không đủ sĩ số đăng ký tối thiểu,2,2,2,2,1.0
nhận công văn vào,2,2,2,2,1.0
được sử dụng khi,2,1,2,2,1.0
được mặc khi,2,2,1,2,1.0
phải chấp hành,2,2,2,2,1.0
được thông báo theo,2,2,2,2,1.0
nhắc,2,1,1,1,2.0
được so với,2,1,1,1,2.0
hoặc mang theo,2,2,2,2,1.0
cam kết tối thiểu,2,1,1,1,2.0
gửi CV đến,2,1,1,1,2.0
cụ thể như,2,1,2,2,1.0
của năm học,2,2,2,2,1.0
để chuẩn bị,2,2,2,2,1.0
được theo dõi theo thông tin,2,2,1,2,1.0
ghi nhận cho,2,2,2,2,1.0
đường dẫn,2,2,2,2,1.0
không chấp nhận,2,2,2,2,1.0
được tạo để,2,1,2,2,1.0
được công khai trên,2,2,2,2,1.0
họp vào,2,2,2,2,1.0
tiến hành xét chọn,2,1,2,2,1.0
về việc triển khai,2,2,2,2,1.0
áp dụng khi có,2,1,2,2,1.0
có điều kiện tham dự,2,1,2,2,1.0
là mã LHP của,2,2,2,2,1.0
hỗ trợ kinh phí cho,2,2,2,2,1.0
là địa chỉ email,2,2,2,2,1.0
được trích xuất từ,2,2,2,2,1.0
trong khoảng thời gian,2,2,2,2,1.0
viết cho,2,1,2,2,1.0
thông báo mở lớp,2,2,1,2,1.0
có nguyện vọng đăng ký trong,2,1,1,1,2.0
danh sách,2,2,2,2,1.0
nộp đơn,2,2,2,2,1.0
xin trân trọng thông báo,2,1,2,2,1.0
"đào tạo, bồi dưỡng",2,1,2,2,1.0
được phát triển nhờ,2,2,2,2,1.0
chụp ảnh lưu niệm,2,2,1,2,1.0
được trả cho,2,1,2,2,1.0
theo dự án,2,1,1,1,2.0
dùng ngôn ngữ,2,1,2,2,1.0
được tối ưu hóa về,2,2,2,2,1.0
được tiếp xúc,2,1,2,2,1.0
cần có để xứng đáng,2,2,1,2,1.0
được tích lũy từ,2,2,1,2,1.0
đòi,2,1,2,2,1.0
họp tại,2,2,2,2,1.0
hoàn thành đầu tư,2,1,2,2,1.0
được sửa đổi,2,2,2,2,1.0
được chỉ đạo bởi,2,2,2,2,1.0
là lĩnh vực liên quan đến,2,1,2,2,1.0
về việc ban hành,2,2,2,2,1.0
có Tags,2,1,2,2,1.0
đạt được danh hiệu,2,1,2,2,1.0
có đóng góp vào,2,1,2,2,1.0
chấm,2,2,2,2,1.0
kết nạp,2,2,2,2,1.0
được cải thiện khả năng tuyển dụng nhờ,2,1,2,2,1.0
xin cập nhật,2,2,1,2,1.0
đăng tải thông tin tại,2,2,2,2,1.0
gồm các bước,2,1,2,2,1.0
theo hướng dẫn của,2,2,2,2,1.0
được tham chiếu từ,2,1,2,2,1.0
nợ,2,2,2,2,1.0
gia hạn đến,2,2,2,2,1.0
bị xử lí theo,2,1,1,1,2.0
yêu cầu cam kết,2,2,2,2,1.0
được tổ chức như,2,2,2,2,1.0
cụ thể bằng,2,1,2,2,1.0
là ngân hàng,2,2,2,2,1.0
có thể làm đơn,2,2,2,2,1.0
là nơi diễn ra chương trình,2,1,2,2,1.0
đáp ứng điều kiện xét,2,1,2,2,1.0
áp dụng ngưỡng xét,2,2,2,2,1.0
được xét để xét,2,1,2,2,1.0
trỏ đến,2,2,2,2,1.0
với đối tác,2,2,2,2,1.0
quảng cho,2,1,2,2,1.0
tuyển dụng nhân sự,2,1,2,2,1.0
tự đăng ký học trong,2,2,1,2,1.0
là thời điểm tốt nghiệp,2,2,1,2,1.0
là năm học của,2,2,2,2,1.0
năm 2017,2,2,1,2,1.0
phát triển mạnh mẽ trong,2,2,1,2,1.0
được kiểm định bởi,2,2,2,2,1.0
được tuyển sinh tại,2,2,2,2,1.0
nhận được quan tâm của,2,1,2,2,1.0
có nhiều kết quả trong,2,1,2,2,1.0
được thể hiện trên,2,2,2,2,1.0
liên tiếp lọt vào,2,1,2,2,1.0
đại diện tham dự cùng,2,1,2,2,1.0
khẳng định năng lực,2,1,2,2,1.0
được ký kết với,2,2,2,2,1.0
nhằm phát triển hợp tác giữa,2,1,2,2,1.0
tiếp thêm động lực cho,2,1,2,2,1.0
trao quà tết cho,2,2,1,2,1.0
đầu tư cho,2,1,2,2,1.0
bám theo,2,2,2,2,1.0
phát triển hướng nghiên cứu,2,2,1,2,1.0
tổng hợp và sử dụng,2,1,2,2,1.0
là hướng nghiên cứu,2,2,2,2,1.0
có tình yêu phát triển hướng nghiên cứu,2,2,1,2,1.0
được hiệu chỉnh giữa,2,2,2,2,1.0
được triển khai thử nghiệm bởi,2,1,2,2,1.0
thực hiện xử lý và truyền thông cho,2,1,2,2,1.0
không thực hiện đầy đủ,2,2,2,2,1.0
được quy tụ từ,2,1,2,2,1.0
nhanh chóng lớn mạnh về,2,1,2,2,1.0
được xã hội ghi nhận,2,1,2,2,1.0
được kiểm định,2,2,2,2,1.0
có Giám đốc,2,2,1,2,1.0
được ra mắt cùng,2,1,2,2,1.0
đã ra mắt,2,2,1,2,1.0
hết sức mới mẻ đối với,2,1,2,2,1.0
là hướng nghiên cứu của,2,1,1,1,2.0
là nơi thực tập của,2,2,1,2,1.0
thực hiện trao đổi,2,2,2,2,1.0
được thực hành,2,2,2,2,1.0
gắn chặt với,2,2,1,2,1.0
tạo thêm cơ hội cho,2,2,1,2,1.0
được tiếp cận trong,2,1,1,1,2.0
phát huy thế mạnh,2,1,2,2,1.0
có giải tại,2,2,1,2,1.0
không phải,2,2,2,2,1.0
xin học bổng,2,1,2,2,1.0
theo học/ nghiên cứu,2,1,2,2,1.0
đóng vai trò quan trọng đối với,2,2,1,2,1.0
đáp ứng yêu cầu của,2,2,2,2,1.0
cần xem xét,2,1,2,2,1.0
kế thừa từ,2,2,2,2,1.0
tham gia lần thứ 2,2,1,2,2,1.0
"được quản lý, đào tạo bởi",2,2,2,2,1.0
được đào tạo chuyên sâu về,2,1,2,2,1.0
tham dự về phía,2,2,1,2,1.0
mang tới,2,2,2,2,1.0
là một phần,2,2,2,2,1.0
được vinh danh bởi,2,2,2,2,1.0
thu thập dữ liệu,2,2,2,2,1.0
diễn ra trong nhiệm kỳ,2,2,2,2,1.0
tiếp tục hoàn thiện,2,1,2,2,1.0
tuỳ biến theo yêu cầu,2,1,2,2,1.0
có Đồng Trưởng ban,2,1,2,2,1.0
chỉ ra rằng,2,2,2,2,1.0
được ký vào ngày,2,2,2,2,1.0
lần đầu tiên tại,2,2,1,2,1.0
đảm bảo dịch vụ,2,1,2,2,1.0
khó có,2,2,2,2,1.0
được công nhận tại,2,2,1,2,1.0
đạt tiêu chuẩn cho,2,1,2,2,1.0
đang lan tỏa đến,2,1,2,2,1.0
nhằm gây dựng,2,2,2,2,1.0
phát triển tại,2,2,2,2,1.0
cung cấp nền tảng cho,2,1,2,2,1.0
thuộc hoạt động của,2,2,1,2,1.0
được thảo luận tại,2,2,2,2,1.0
là kết quả,2,2,2,2,1.0
được đầu tư tập trung,2,2,1,2,1.0
tham gia với tư cách,2,2,1,2,1.0
có sự gắn kết với,2,1,2,2,1.0
gắn với nhu cầu,2,1,2,2,1.0
cộng tác,2,2,1,2,1.0
đào tạo hơn,2,1,1,1,2.0
có thể đào tạo,2,1,1,1,2.0
quan tâm và đầu tư,2,1,2,2,1.0
được đầu tư trọng điểm,2,2,2,2,1.0
tạo thêm,2,2,2,2,1.0
bên trái,2,2,1,2,1.0
được sinh viên trải nghiệm tại,2,2,1,2,1.0
có cơ hội thực tập,2,1,1,1,2.0
lan tỏa tới,2,1,2,2,1.0
có từ,2,1,2,2,1.0
góp phần lan tỏa tới,2,1,2,2,1.0
dẫn đoàn với tư cách,2,1,1,1,2.0
có đội ngũ cán bộ,2,2,2,2,1.0
được mong muốn,2,1,2,2,1.0
được lưu trữ,2,2,2,2,1.0
chủ yếu cho,2,1,2,2,1.0
tham dự với tư cách cơ quan đối tác,2,2,1,2,1.0
nhằm góp phần nâng cao,2,1,2,2,1.0
là nơi giao lưu,2,1,2,2,1.0
là Bí thư,2,2,2,2,1.0
phó chủ tịch bởi,2,2,1,2,1.0
chấp hành tốt,2,1,2,2,1.0
trao tặng cho,2,2,2,2,1.0
nâng cao hiệu năng,2,1,2,2,1.0
tự tin bảo vệ,2,2,1,2,1.0
có sáng kiến,2,2,2,2,1.0
huy động hỗ trợ từ,2,1,2,2,1.0
phó giám đốc,2,1,2,2,1.0
vào năm,2,2,2,2,1.0
phụ thuộc không chỉ vào,2,1,2,2,1.0
là chức danh trong,2,2,1,2,1.0
được kỳ vọng có,2,2,2,2,1.0
ban đầu chỉ có,2,1,2,2,1.0
được nhắc tới như bối cảnh của,2,1,2,2,1.0
có thể gây ra,2,1,2,2,1.0
trơ,2,1,2,2,1.0
nhẹ hơn,2,1,1,1,2.0
được ứng dụng để đóng tàu,2,1,2,2,1.0
thuộc lực lượng,2,1,2,2,1.0
có đặc tính,2,2,2,2,1.0
được bổ nhiệm làm,2,2,2,2,1.0
có thể phân tích,2,1,2,2,1.0
nhận diện,2,1,2,2,1.0
đưa tin về,2,2,2,2,1.0
gặp khó khăn vì,2,2,2,2,1.0
giảm với,2,1,2,2,1.0
tới dự,2,2,1,2,1.0
có công suất tiêu thụ,2,2,1,2,1.0
được báo,2,1,2,2,1.0
có thể xảy ra,2,2,2,2,1.0
có học hàm học vị,2,2,2,2,1.0
thường xuyên đăng cai tổ chức,2,1,2,2,1.0
góp phần giới thiệu,2,1,2,2,1.0
được tuyên truyền trên,2,1,2,2,1.0
được nghề giáo,2,1,2,2,1.0
nằm ở chỗ,2,1,2,2,1.0
nằm ngoài tầm kiểm soát của,2,1,1,1,2.0
cần cân bằng,2,1,2,2,1.0
được thay thế một phần bởi,2,1,2,2,1.0
được đào tạo cho,2,1,2,2,1.0
dẫn đầu đoàn,2,2,2,2,1.0
được trình bày cùng,2,2,2,2,1.0
có chức năng quan trọng là,2,1,2,2,1.0
tham mưu,2,2,1,2,1.0
có thể được,2,1,2,2,1.0
được xuất bản tại,2,2,2,2,1.0
chụp ảnh lưu niệm tại,2,2,2,2,1.0
diễn ra trên nền tảng,2,2,2,2,1.0
gồm mục,2,1,2,2,1.0
đóng góp ý kiến từ,2,2,1,2,1.0
thời gian thực hiện,2,1,2,2,1.0
chỉ tiêu dự kiến,2,2,2,2,1.0
chọn một trong,2,1,2,2,1.0
yêu cầu hồ sơ,2,2,2,2,1.0
trưởng thành từ,2,1,2,2,1.0
gây dựng,2,1,2,2,1.0
cho các kỳ thi,2,1,2,2,1.0
đạt thành công với,2,2,2,2,1.0
như,2,1,2,2,1.0
khởi nghiệp ở,2,1,2,2,1.0
tham gia vòng chung kết toàn cầu,2,1,2,2,1.0
đạt xếp hạng,2,1,2,2,1.0
sau đó,2,1,2,2,1.0
được đưa ra trước,2,2,2,2,1.0
yêu cầu mang theo,2,1,2,2,1.0
tính đến hết ngày,2,2,2,2,1.0
được thành lập từ sự kết hợp,2,1,2,2,1.0
phát triển theo tiêu chí,2,1,2,2,1.0
có uy tín trên,2,1,2,2,1.0
đặt trọng tâm vào,2,1,2,2,1.0
đề nghị thay đổi,2,1,2,2,1.0
được phát triển tiếp theo,2,2,2,2,1.0
làm căn cứ theo,2,1,2,2,1.0
được loại trừ,2,2,1,2,1.0
còn nợ,2,2,2,2,1.0
có thời gian đào tạo kéo dài,2,1,2,2,1.0
được tổ chức trên,2,1,2,2,1.0
được tiến hành cho,2,1,2,2,1.0
có luận án Tiến sĩ,2,2,2,2,1.0
theo kế hoạch,2,2,1,2,1.0
phải đạt tối thiểu,2,2,2,2,1.0
cấp ngày,2,1,2,2,1.0
xuất bản tại,2,2,2,2,1.0
được thu thập từ,2,1,2,2,1.0
theo công văn số,2,2,2,2,1.0
cần đạt,2,2,2,2,1.0
được lưu ý,2,2,2,2,1.0
được kết thúc bằng,2,2,2,2,1.0
được xét nhận,2,2,1,2,1.0
người học tự nộp,2,1,2,2,1.0
theo mức dịch vụ do,2,2,1,2,1.0
theo kỳ,2,1,1,1,2.0
đúng đối tượng,2,2,1,2,1.0
nghỉ học,2,2,1,2,1.0
là ngày nghỉ dạy và học,2,1,2,2,1.0
lưu tài liệu thành,2,1,2,2,1.0
áp dụng học kỳ,2,2,2,2,1.0
đủ điều kiện để,2,2,2,2,1.0
được nộp trước,2,2,2,2,1.0
đã hoàn thành tối thiểu,2,2,2,2,1.0
hỗ trợ chi phí,2,2,2,2,1.0
miễn,2,1,2,2,1.0
quốc gia,2,2,1,2,1.0
theo thông báo,2,2,2,2,1.0
đủ điều kiện để tiếp tục nhận,2,2,1,2,1.0
nhận hoàn trả,2,2,2,2,1.0
được chuyển vào tài khoản,2,2,2,2,1.0
được chi theo,2,2,2,2,1.0
đựng,2,2,1,2,1.0
thuộc đối tượng tham gia,2,2,1,2,1.0
được chuyển,2,2,2,2,1.0
làm thủ tục cho,2,2,2,2,1.0
được mang đến,2,1,1,1,2.0
có độ tuổi dưới,2,2,2,2,1.0
làm đơn,2,2,2,2,1.0
thu học phí trong,2,1,2,2,1.0
diễn ra trong đợt,2,2,2,2,1.0
là tổ chức của,2,2,2,2,1.0
thu theo,2,2,2,2,1.0
tốt nghiệp đại học chuyên ngành,2,1,2,2,1.0
được lập bởi,2,2,2,2,1.0
có nguyện vọng nhận,2,2,2,2,1.0
gửi kèm,2,2,2,2,1.0
gửi qua email,2,2,2,2,1.0
xét trên năm học,2,2,1,2,1.0
địa điểm tổ chức,2,2,2,2,1.0
đối tượng tham gia là,2,2,2,2,1.0
quy định trang phục,2,1,2,2,1.0
là địa điểm tổ chức,2,2,2,2,1.0
có thể tham gia nếu,2,1,2,2,1.0
được gửi vào,2,2,2,2,1.0
không nộp đúng thời hạn,2,2,1,2,1.0
phải làm đơn xin nộp học phí muộn,2,2,2,2,1.0
được phân theo,2,2,2,2,1.0
thành tích trong,2,1,2,2,1.0
giảng dạy về,2,2,2,2,1.0
có số lượng khoảng,2,2,2,2,1.0
được xem cùng,2,2,2,2,1.0
phải mang,2,1,2,2,1.0
điểm danh,2,1,2,2,1.0
tìm kiếm và nuôi dưỡng,2,2,1,2,1.0
được thực hiện trong khoảng thời gian,2,2,2,2,1.0
ứng tuyển tại,2,2,2,2,1.0
cung cấp phúc lợi,2,1,2,2,1.0
có loại hình,2,2,2,2,1.0
nhận thiết kế từ,2,2,1,2,1.0
hấp dẫn,2,2,2,2,1.0
được tiến hành vào,2,2,1,2,1.0
được nộp dạng,2,2,2,2,1.0
được xác định từ,2,2,2,2,1.0
được chi trả bởi,2,2,2,2,1.0
yêu cầu hiểu biết về,2,1,2,2,1.0
hiển thị danh mục,2,1,2,2,1.0
nhằm mở rộng,2,2,2,2,1.0
thi đấu trên,2,2,2,2,1.0
đến làm,2,2,1,2,1.0
do phối hợp tổ chức,2,1,2,2,1.0
được giành trong năm,2,1,2,2,1.0
gắn với sản phẩm,2,2,2,2,1.0
nhận giải nhì Nhân tài đất Việt,2,2,1,2,1.0
đề xuất giải pháp,2,1,2,2,1.0
được nhắc tới để,2,2,1,2,1.0
có thể đề nghị,2,2,2,2,1.0
có họ và tên,2,2,2,2,1.0
có học phí học lần đầu,2,2,2,2,1.0
có mức học lần đầu,2,2,2,2,1.0
có mức học lại/cải thiện/tự chọn tự do,2,2,2,2,1.0
có doi,2,2,2,2,1.0
có DOI,2,2,2,2,1.0
có ISBN,2,2,2,2,1.0
trang,2,2,2,2,1.0
được thực hiện theo hình thức,2,2,2,2,1.0
đã có thông báo thu,2,1,2,2,1.0
theo danh sách,2,1,2,2,1.0
đã cập nhật danh sách,2,1,2,2,1.0
được nêu tại,2,2,2,2,1.0
là nhãn cho,2,2,2,2,1.0
đề nghị xét,2,2,2,2,1.0
có họ tên,2,2,2,2,1.0
được bảo đảm về,2,1,2,2,1.0
triển khai tới,2,1,2,2,1.0
đạt giải nhất,2,2,2,2,1.0
giành giải nhất,2,2,2,2,1.0
góp phần tạo dựng,2,1,2,2,1.0
được chỉ đạo tăng tốc độ phát triển,2,1,2,2,1.0
gắn với năm,2,1,2,2,1.0
tổ chức sự kiện,2,2,2,2,1.0
đạt thành tích cao,2,1,2,2,1.0
bày tỏ lòng biết ơn,2,1,2,2,1.0
được dẫn từ,2,2,2,2,1.0
được phân công bởi,2,1,2,2,1.0
có thể được gọi là,2,2,2,2,1.0
bao gồm một bộ phận của,2,1,2,2,1.0
đến năm 2030,2,1,2,2,1.0
nhằm để bảo vệ,2,1,2,2,1.0
tiếp tục hoàn thành,2,1,2,2,1.0
nghe và thảo luận về,2,1,2,2,1.0
tiếp tục theo đuổi,2,1,2,2,1.0
được tạo ra thông qua,2,2,2,2,1.0
nên thường xuyên,2,2,1,2,1.0
tiếp đoàn,2,2,2,2,1.0
tham gia theo chỉ đạo,2,1,2,2,1.0
có tác giả là,2,2,2,2,1.0
được ghi là,2,1,2,2,1.0
kết thúc sau,2,2,2,2,1.0
giành giải Nhất,2,2,1,2,1.0
không thể,2,2,2,2,1.0
nhằm tập hợp,2,1,2,2,1.0
ra đời từ,2,2,2,2,1.0
có tuổi,2,2,2,2,1.0
cần tuyển dụng,2,1,2,2,1.0
cần trình độ,2,2,2,2,1.0
được hình thành từ việc,2,1,2,2,1.0
phục vụ nhu cầu,2,2,2,2,1.0
được khai mạc tại,2,2,2,2,1.0
nghĩa là,2,2,2,2,1.0
yêu cầu giải pháp,2,2,2,2,1.0
bày tỏ lời cảm ơn tới,2,1,2,2,1.0
nhằm góp phần,2,2,1,2,1.0
nhận sự quan tâm của,2,1,1,1,2.0
diễn ra xuyên suốt trong,2,1,2,2,1.0
dẫn đến cải tiến,2,1,2,2,1.0
nhận thấy cần phải,2,1,2,2,1.0
tiếp nối,2,2,2,2,1.0
có giá trị trong việc,2,1,2,2,1.0
trả theo,2,1,1,1,2.0
là một việc của,2,2,1,2,1.0
thể hiện định hướng,2,1,2,2,1.0
có công văn ngày,2,1,1,1,2.0
kính gửi đến,2,1,2,2,1.0
có thời khóa biểu,2,2,2,2,1.0
nhận được thông tin về,2,2,2,2,1.0
nhận lại,2,2,2,2,1.0
được quy định bởi pháp luật,2,2,1,2,1.0
phải tuân thủ,2,2,2,2,1.0
tuyên truyền cho,2,2,2,2,1.0
được tổ chức dành riêng cho,2,1,2,2,1.0
thuộc địa chỉ,2,2,2,2,1.0
có yêu cầu xuất trình,2,1,2,2,1.0
cần có tính,2,2,1,2,1.0
phải thực hiện theo,2,2,2,2,1.0
được thông báo trước,2,2,2,2,1.0
không phải tham gia,2,2,1,2,1.0
dùng để đăng ký,2,2,2,2,1.0
được đề nghị thông báo,2,2,2,2,1.0
nộp chậm nhất,2,2,2,2,1.0
phụ trách mảng,2,1,2,2,1.0
là nhóm,2,2,2,2,1.0
theo học chuyên ngành,2,1,2,2,1.0
là điểm cộng,2,1,2,2,1.0
có hiểu biết sâu,2,1,2,2,1.0
yêu cầu chuyên ngành,2,1,2,2,1.0
tuyển dụng theo kỹ năng,2,1,2,2,1.0
đề nghị cho,2,2,2,2,1.0
không phân biệt,2,2,2,2,1.0
hoặc xuất trình,2,2,2,2,1.0
phải còn hạn sử dụng,2,2,1,2,1.0
có MSV,2,2,2,2,1.0
có email tuyển dụng miền,2,1,2,2,1.0
phải trả,2,1,1,1,2.0
có lệ phí giặt,2,2,1,2,1.0
trực tiếp,2,1,2,2,1.0
loại,2,2,2,2,1.0
được thi vào,2,1,2,2,1.0
vượt quá,2,2,2,2,1.0
có mức thu,2,2,2,2,1.0
giới thiệu mô hình hoạt động,2,1,2,2,1.0
nơi diễn ra,2,2,2,2,1.0
chuyển cho,2,1,2,2,1.0
chuyển bản mềm tới,2,1,2,2,1.0
nhận qua email,2,2,1,2,1.0
được nộp để,2,1,1,1,2.0
được yêu cầu nộp,2,2,2,2,1.0
được hưởng từ,2,2,1,2,1.0
cần hoàn thành,2,2,2,2,1.0
nộp đơn đăng ký,2,2,2,2,1.0
phổ biến thông tin về,2,1,2,2,1.0
thuộc chỉ tiêu,2,2,2,2,1.0
được yêu cầu cùng với,2,2,2,2,1.0
về chủ đề,2,1,2,2,1.0
thông báo theo,2,1,2,2,1.0
được Phòng Đào tạo thông báo,2,2,1,2,1.0
chưa đạt,2,2,2,2,1.0
theo sau,2,2,1,2,1.0
thường xuyên luyện tập,2,1,2,2,1.0
chật,2,2,2,2,1.0
được chuyển học từ,2,2,1,2,1.0
đã trao cho,2,1,2,2,1.0
được hoàn thành,2,2,2,2,1.0
có tồn tại hạn chế,2,1,2,2,1.0
là dịp để,2,2,2,2,1.0
tập trung phân tích theo tiêu chuẩn,2,1,2,2,1.0
phát hành bởi,2,2,2,2,1.0
bao gồm mốc,2,1,2,2,1.0
được nhận hỗ trợ,2,2,1,2,1.0
mô tả là,2,1,2,2,1.0
gọi,2,1,2,2,1.0
yêu cầu ứng viên,2,1,2,2,1.0
phát triển phần mềm trên nền tảng,2,1,2,2,1.0
tham gia dự án công nghệ mới,2,1,2,2,1.0
được đề nghị đến,2,2,2,2,1.0
tối ưu,2,2,2,2,1.0
theo yêu cầu,2,1,2,2,1.0
là danh sách của,2,2,2,2,1.0
để phục vụ,2,2,2,2,1.0
và cân bằng giữa,2,1,2,2,1.0
kín lịch,2,1,2,2,1.0
có chung đam mê,2,2,1,2,1.0
hiện nay được trang bị tại,2,1,2,2,1.0
được trang bị ở,2,1,2,2,1.0
là tác giả chính của,2,2,2,2,1.0
đạt đến,2,2,2,2,1.0
cung cấp số liệu,2,1,2,2,1.0
"quản lý, đào tạo",2,2,2,2,1.0
giữ vai trò quan trọng trong,2,1,2,2,1.0
là sinh viên ngành,2,2,2,2,1.0
bứt phát để,2,2,1,2,1.0
là người cùng tham gia,2,2,1,2,1.0
trọng tâm,2,1,2,2,1.0
hướng dẫn để,2,2,2,2,1.0
hỗ trợ mua,2,1,2,2,1.0
giúp người học,2,1,2,2,1.0
tự nhủ,2,1,2,2,1.0
gây tổn hại đến,2,1,2,2,1.0
tác động vào,2,1,2,2,1.0
không phải là,2,2,2,2,1.0
cần tăng cường đầu tư,2,1,2,2,1.0
sử dụng tín hiệu,2,1,2,2,1.0
cho học bổng,2,1,2,2,1.0
được tổ chức bằng hình thức,2,2,1,2,1.0
phải có mặt trước,2,2,2,2,1.0
cảm thấy áp lực vì,2,1,2,2,1.0
lưu ý thông tin về,2,2,1,2,1.0
nghỉ chế độ,2,2,2,2,1.0
được phát triển thêm,2,1,2,2,1.0
cho phép các cơ sở Y tế bày bán,2,1,2,2,1.0
sử dụng tốt,2,1,2,2,1.0
có xác nhận bởi,2,2,2,2,1.0
truy cập qua,2,2,2,2,1.0
dùng để tham gia,2,2,2,2,1.0
gia nhập,2,2,2,2,1.0
thảo luận và biểu quyết thông qua,2,1,2,2,1.0
dùng làm căn cứ chỉ đạo,2,1,2,2,1.0
nhằm đạt được,2,1,2,2,1.0
được tổ chức đánh giá,2,2,1,2,1.0
hỗ trợ tài chính,2,1,2,2,1.0
được đăng ký tham gia bởi,2,1,2,2,1.0
có thể được nhận,2,2,1,2,1.0
nhận tối đa,2,2,2,2,1.0
có trách nhiệm tham dự,2,2,1,2,1.0
nộp học phí,2,2,2,2,1.0
có đề nghị,2,2,2,2,1.0
dùng để làm thủ tục,2,2,1,2,1.0
cần có bằng,2,1,2,2,1.0
yêu cầu thông báo,2,1,2,2,1.0
có kênh thông báo,2,1,2,2,1.0
hướng đến đào tạo,2,1,2,2,1.0
có đóng góp cho,2,2,2,2,1.0
nhằm làm tăng,2,1,2,2,1.0
kết thúc khi,2,2,2,2,1.0
liên hệ khi cần hỗ trợ,2,1,2,2,1.0
được nộp ngay khi,2,1,2,2,1.0
năm xuất bản,2,2,2,2,1.0
sắp xếp theo,2,1,2,2,1.0
thuộc bộ phận,2,2,2,2,1.0
là thời điểm bắt đầu,2,2,2,2,1.0
do chủng mới của,2,2,2,2,1.0
cần thanh toán,2,2,1,2,1.0
có thể lựa chọn,2,1,2,2,1.0
về việc trích lập quỹ,2,2,1,2,1.0
đang trong thời gian,2,2,1,2,1.0
thuộc đối tượng được hưởng,2,2,2,2,1.0
ban hành công văn thông báo về,2,1,2,2,1.0
được xét chọn cho,2,2,1,2,1.0
bị trừ điểm rèn luyện trong,2,2,2,2,1.0
đồng ý trao học bổng cho,2,2,2,2,1.0
là chứng chỉ yêu cầu,2,2,1,2,1.0
có thời hạn sử dụng,2,2,2,2,1.0
được nêu kèm,2,2,2,2,1.0
nhận thông báo vào,2,2,2,2,1.0
được ưu tiên tham gia,2,1,2,2,1.0
tiến hành xét,2,2,2,2,1.0
cần cung cấp,2,2,1,2,1.0
được thực hiện lần,2,2,2,2,1.0
nhận hoàn trả lần,2,2,1,2,1.0
phải nộp báo cáo,2,1,2,2,1.0
có nội dung giới thiệu,2,1,2,2,1.0
bao gồm khung giờ,2,1,2,2,1.0
độ dài không quá,2,2,1,2,1.0
được giám khảo dùng để đánh giá,2,1,2,2,1.0
kèm hoạt động,2,2,2,2,1.0
cần có ý kiến đồng ý của,2,1,2,2,1.0
đề nghị thực hiện nghiêm túc,2,1,2,2,1.0
tiếp tục đề nghị xét,2,2,1,2,1.0
được chuyển ngành từ,2,2,1,2,1.0
muốn tuyển dụng kỹ sư từ,2,1,2,2,1.0
tuyển dụng thực tập sinh ngành,2,1,2,2,1.0
là vị trí tuyển dụng của,2,2,1,2,1.0
có link mô tả,2,2,2,2,1.0
đề cập công ty,2,2,2,2,1.0
gửi CV tới,2,2,2,2,1.0
được tư vấn bởi,2,2,2,2,1.0
hợp tác tại,2,1,2,2,1.0
dự án liên quan,2,1,2,2,1.0
nghiên cứu công nghệ mới về,2,1,2,2,1.0
có nền tảng tốt,2,2,2,2,1.0
có khả năng với,2,1,2,2,1.0
